time,open,high,low,close,volume,ticker,industry,MA10,MA20,MA50,MA200,rsi,macd,upper_band,lower_band,RS
2020-04-03,6130,6290,6080,6290,4544530,SSI,Dịch vụ tài chính,6016.0,6428.0,7525.6,,49.714285714285715,-494.2615759374148,7666.90613891956,5189.09386108044,
2020-04-06,6630,6720,6550,6720,5473010,SSI,Dịch vụ tài chính,6030.0,6367.5,7477.2,,55.216284987277355,-411.0363193572166,7398.2661943274825,5336.7338056725175,
2020-04-07,6890,6910,6650,6720,6377610,SSI,Dịch vụ tài chính,6089.0,6334.0,7428.8,,49.714285714285715,-341.1471716735041,7263.411811733321,5404.588188266679,
2020-04-08,6600,6890,6460,6810,4091610,SSI,Dịch vụ tài chính,6176.0,6305.0,7382.2,,54.626865671641795,-275.32351269995706,7125.487659870603,5484.512340129397,
2020-04-09,7150,7250,7120,7250,5507100,SSI,Dịch vụ tài chính,6267.0,6323.0,7343.8,,59.894459102902374,-185.51496492638034,7210.577424347007,5435.422575652993,
2020-04-10,7310,7480,7150,7310,3233820,SSI,Dịch vụ tài chính,6383.0,6366.5,7314.4,,59.6816976127321,-108.25168715589916,7357.475595854352,5375.524404145648,
2020-04-13,7230,7360,7150,7230,3573400,SSI,Dịch vụ tài chính,6519.0,6412.5,7290.8,,66.1764705882353,-52.86590899206385,7475.244708662158,5349.755291337842,
2020-04-14,7170,7250,7000,7250,3902110,SSI,Dịch vụ tài chính,6698.0,6459.5,7273.8,,70.27863777089783,-7.27459095496306,7584.4790641326545,5334.5209358673455,
2020-04-15,7310,7390,7250,7340,3075990,SSI,Dịch vụ tài chính,6881.0,6489.5,7259.2,,67.12328767123287,35.70749116476054,7676.277591898129,5302.722408101871,
2020-04-16,7250,7450,7200,7340,2603060,SSI,Dịch vụ tài chính,7026.0,6531.5,7245.0,,71.7948717948718,68.97598865269538,7777.804431847231,5285.195568152769,
2020-04-17,7420,7580,7390,7480,3936040,SSI,Dịch vụ tài chính,7145.0,6580.5,7226.4,,81.08108108108108,105.42309080247105,7896.690275797997,5264.309724202003,
2020-04-20,7500,7580,7390,7530,3326260,SSI,Dịch vụ tài chính,7226.0,6628.0,7208.8,,96.41255605381166,136.7657139591056,8010.988373814186,5245.011626185814,
2020-04-21,7310,7390,7000,7060,4437860,SSI,Dịch vụ tài chính,7260.0,6674.5,7183.4,,79.24528301886792,122.27043906519611,8049.502009567889,5299.497990432111,
2020-04-22,6870,7390,6870,7310,3435210,SSI,Dịch vụ tài chính,7310.0,6743.0,7164.0,,78.17460317460318,129.46336683703066,8100.320890578181,5385.679109421819,
2020-04-23,7420,7580,7310,7310,2594810,SSI,Dịch vụ tài chính,7316.0,6791.5,7141.0,,74.0566037735849,133.62348555471272,8157.481813857498,5425.518186142502,
2020-04-24,7280,7340,7170,7280,1507530,SSI,Dịch vụ tài chính,7313.0,6848.0,7119.4,,66.27906976744185,132.96690066908195,8195.615437883152,5500.3845621168475,
2020-04-27,7340,7340,7170,7200,2112890,SSI,Dịch vụ tài chính,7310.0,6914.5,7094.2,,63.333333333333336,124.55542361431162,8188.143344276961,5640.856655723039,
2020-04-28,7200,7200,7030,7120,2587110,SSI,Dịch vụ tài chính,7297.0,6997.5,7069.0,,58.65921787709498,110.16403362992514,8072.98520261907,5922.01479738093,
2020-04-29,7150,7200,7090,7150,1454150,SSI,Dịch vụ tài chính,7278.0,7079.5,7045.4,,46.3768115942029,100.0264598970889,7896.464213607757,6262.535786392243,
2020-05-04,7090,7150,6980,6980,2180310,SSI,Dịch vụ tài chính,7242.0,7134.0,7017.8,,38.92617449664429,77.3827601360681,7733.276757082152,6534.723242917848,
2020-05-05,6980,7090,6930,6960,1667710,SSI,Dịch vụ tài chính,7190.0,7167.5,6989.8,,40.55944055944056,57.16467331320382,7626.646806014849,6708.353193985151,
2020-05-06,7000,7150,6980,7120,1675700,SSI,Dịch vụ tài chính,7149.0,7187.5,6966.6,,45.85987261146497,53.43637539428528,7596.703333834178,6778.296666165822,
2020-05-07,7120,7250,7090,7250,2332040,SSI,Dịch vụ tài chính,7168.0,7214.0,6957.2,,47.20496894409938,60.27675308864491,7559.399844573694,6868.600155426306,
2020-05-08,7250,7580,7250,7420,7919390,SSI,Dịch vụ tài chính,7179.0,7244.5,6950.0,,52.247191011235955,78.51036235814536,7544.4280615501275,6944.5719384498725,
2020-05-11,7770,7770,7500,7770,6209600,SSI,Dịch vụ tài chính,7225.0,7270.5,6952.4,,57.286432160804026,119.82147660224746,7651.60504146696,6889.39495853304,
